2023-07-26 18:18:54,006 - dir_info(name='Homework#11', ext='', flag='Directory', parent='Homework_python')
2023-07-26 18:18:54,006 - dir_info(name='Homework#10', ext='', flag='Directory', parent='Homework_python')
2023-07-26 18:18:54,007 - dir_info(name='.DS_Store', ext='', flag='File', parent='Homework_python')
2023-07-26 18:18:54,007 - dir_info(name='Homework#7', ext='', flag='Directory', parent='Homework_python')
2023-07-26 18:18:54,007 - dir_info(name='Homework#9', ext='', flag='Directory', parent='Homework_python')
2023-07-26 18:18:54,007 - dir_info(name='Homework#8', ext='', flag='Directory', parent='Homework_python')
2023-07-26 18:18:54,007 - dir_info(name='HomeWork#1', ext='', flag='Directory', parent='Homework_python')
2023-07-26 18:18:54,007 - dir_info(name='Homework#6', ext='', flag='Directory', parent='Homework_python')
2023-07-26 18:18:54,008 - dir_info(name='Homework#15', ext='', flag='Directory', parent='Homework_python')
2023-07-26 18:18:54,008 - dir_info(name='Homework#12', ext='', flag='Directory', parent='Homework_python')
2023-07-26 18:18:54,008 - dir_info(name='README', ext='.md', flag='File', parent='Homework_python')
2023-07-26 18:18:54,008 - dir_info(name='Homework#13', ext='', flag='Directory', parent='Homework_python')
2023-07-26 18:18:54,008 - dir_info(name='Homework#14', ext='', flag='Directory', parent='Homework_python')
2023-07-26 18:18:54,008 - dir_info(name='.gitignore', ext='', flag='File', parent='Homework_python')
2023-07-26 18:18:54,008 - dir_info(name='lesson_semenar', ext='', flag='Directory', parent='Homework_python')
2023-07-26 18:18:54,009 - dir_info(name='Homework#3', ext='', flag='Directory', parent='Homework_python')
2023-07-26 18:18:54,009 - dir_info(name='Homework#4', ext='', flag='Directory', parent='Homework_python')
2023-07-26 18:18:54,009 - dir_info(name='venv', ext='', flag='Directory', parent='Homework_python')
2023-07-26 18:18:54,009 - dir_info(name='.git', ext='', flag='Directory', parent='Homework_python')
2023-07-26 18:18:54,009 - dir_info(name='Homework#5', ext='', flag='Directory', parent='Homework_python')
2023-07-26 18:18:54,009 - dir_info(name='HomeWork#2', ext='', flag='Directory', parent='Homework_python')
2023-07-26 18:18:54,010 - dir_info(name='test ', ext='', flag='Directory', parent='Homework_python')
2023-07-26 18:18:54,010 - dir_info(name='.idea', ext='', flag='Directory', parent='Homework_python')
